#gene	(mean normalized control expression)	(median normalized control expression)	(mean normalized treatment expression)	(median normalized treatment expression)	(logFoldChange)
Gene8	0.010000000000000007	0.009714559509951315	0.01	0.009767406601648081	-9.610279511444756e-16
Gene1	0.01	0.00866545598857238	0.009999999999999995	0.008423312260551728	-8.008566259537297e-16
Gene4	0.009999999999999998	0.010118343682381892	0.009999999999999998	0.01044113544651515	0.0
Gene2	0.009999999999999998	0.009759906278935773	0.01	0.010476640749101197	3.203426503814917e-16
Gene3	0.010000000000000002	0.009848022659602159	0.010000000000000004	0.00958055218016118	3.203426503814917e-16
Gene6	0.009999999999999998	0.007500494347983775	0.01	0.007818367201092549	3.203426503814917e-16
Gene7	0.01	0.009743054151825681	0.010000000000000002	0.010115536482985542	3.203426503814917e-16
Gene9	0.009999999999999998	0.009011898842523534	0.01	0.009780224728486683	3.203426503814917e-16
Gene10	0.009999999999999998	0.009613781287745593	0.01	0.010379649329875375	3.203426503814917e-16
Gene5	0.009999999999999998	0.0098037534315576	0.010000000000000002	0.01008332463411963	6.406853007629834e-16
